source,target,weight
53ROOYEPEGCLHHI8J4,98ITRCHJDWZWECZ9W0,0.912
07EIPETNBVKBKRP5I4,10KHRVOTEXSNLDX7W3,0.931
07EIPETNBVKBKRP5I4,54HZBESTQSDYHQF3B9,0.931
97SYYHANDGEXQLN3U2,08QIJKUXNCXIGQT6Y6,0.962
97SYYHANDGEXQLN3U2,14CJZTZIVIGUBLC7L0,0.962
49JJXTSPDBFDJNZ9R7,44EVNTOUPGABVSF6T7,0.934
49JJXTSPDBFDJNZ9R7,30AKMMUXTGIOOQJ6B0,0.934
49JJXTSPDBFDJNZ9R7,69SSVWKKXQRWAED2L2,0.934
16SNPSETUREBWFN4Y5,21QXXAIDVWDGIVP1J5,0.906
16SNPSETUREBWFN4Y5,48JCEQCNFGNGLWY9P1,0.906
16SNPSETUREBWFN4Y5,38FSKCCYQXMJRDL3U2,0.906
54LRLZOGWSHMNMT2N2,70IPMNTHBYKZHPL0O2,0.968
22TMWGCLBTBDICC5J6,29LYBWDXITWLRLN8R8,0.963
22TMWGCLBTBDICC5J6,17ZBMMDEBPKNUIF3T9,0.963
34FZIQFWAPGQTZQ1N2,15BFOJWZRTSVZWD7W8,0.911
97NNSPGOTBRQRRL1Y0,38BERHVRRASDMYV1C3,0.913
28FGPGZQVQDKRRK0C0,68ECYUBTUEVLUMU0K6,0.933
13MMBYCJDJVIXZX5I1,25WLVILBUDLHNRZ4M3,0.923
13MMBYCJDJVIXZX5I1,55PFHPSGGEWYEGN7V3,0.923
65YCEIZBEZFDISN4R6,68ECYUBTUEVLUMU0K6,0.914
67YVKBCMMLSWDJK7O2,31XCDTXNITVQDIY5A5,0.939
67YVKBCMMLSWDJK7O2,97OUDYOHGZLCXMO2J1,0.939
09JABXPMJWRJUPR0K4,42CVUZJEAGWOISI8N7,0.878
09JABXPMJWRJUPR0K4,74OWUXTKUVBPOVU1V9,0.878
09JABXPMJWRJUPR0K4,99ZUABABGAVSDRA3M5,0.878
96NFXEDGNGIJLBY3P8,03LHVMFAYDPLKWR3G1,0.908
10XNPRCRZFQBJBM0L7,44KMHPQNRALHFOL9U8,0.933
10XNPRCRZFQBJBM0L7,57KYVMFNLORAXPA0W0,0.933
10XNPRCRZFQBJBM0L7,30GRXHDGBUWKMCT7X0,0.933
66UPNKEHUDYBNLF9Y1,08FPTXCWHHQFJDA3T4,0.948
66UPNKEHUDYBNLF9Y1,97HKUYMPQIXEIWG4G6,0.948
66UPNKEHUDYBNLF9Y1,54DHBPYOVZMQCLK6J1,0.948
62BCHXCIDAYWMOM2S6,15FBFJTSGVKQQQI7P3,0.917
19BLTBPTKRGSABT7W7,95AFHETIIDDLRLP8W7,0.912
60CUXMMFUYPRIAT0H1,75SLNETRFATGYIP2Q3,0.886
60CUXMMFUYPRIAT0H1,18WDWILIEYDGJAM3S5,0.886
05CXXAMZBBMNDWE1Z8,83UEPRUQXZZGMFG3S3,0.928
68CDCHJIIFHBEHB7S6,03LHVMFAYDPLKWR3G1,0.885
68CDCHJIIFHBEHB7S6,87PDCPDTWCQALEF1C0,0.885
68CDCHJIIFHBEHB7S6,80KLQDTXGJCOJRY1J8,0.885
29CLHXPLQSLMPLE1B6,52KBNEFREUWKZFS3J9,0.958
