gstin,taxpayer_name,sector,state,taxable_value,itc_claimed,tax_paid,itc_ratio,invoice_count,mismatch_ratio,num_buyers,filing_status,is_fraud
74ZWUGMULUALUIM0X7,Muni-Hayer,Retail,MP,305134.4,24108.65,23620.8,1.0206,4,0.0587,14,Regular,0
66YQMCMOWBYQJLO4L8,Rai-Chana,Retail,RJ,849225.58,86011.54,48139.28,1.7867,26,0.1128,1,Missing,0
41PZGJMZWNXKMLJ9L6,Wagle-Oommen,Construction,TN,424324.48,33216.38,38418.67,0.8646,43,0.0245,18,Missing,0
34JTQFPFBBGGDGS0J2,"Randhawa, Bera and Oommen",Services,TG,124438.33,11062.81,17421.65,0.635,34,0.1225,18,Missing,0
53ROOYEPEGCLHHI8J4,"Upadhyay, Pandey and Prashad",Construction,KA,736584.79,1220243.34,24130.02,50.5674,62,0.8575,76,Late,1
87CLKJANRQTFWLT0F0,Majumdar-Sangha,Manufacturing,UP,210682.46,31929.11,14957.1,2.1346,39,0.0969,16,Regular,0
26WFXDVRWAIJPES7U1,Pillay-Mand,Construction,MH,897376.57,132327.35,141516.98,0.9351,37,0.0689,2,Late,0
27BTMHTILVGKRIA8Q4,Peri LLC,Services,MH,143556.67,16709.29,18615.75,0.8975,44,0.0129,7,Regular,0
07EIPETNBVKBKRP5I4,Divan-Gokhale,Retail,DL,4084417.81,9076734.42,60009.6,151.2522,66,0.7037,28,Missing,1
97SYYHANDGEXQLN3U2,Wason-Bains,Services,WB,4366002.91,9823888.09,161523.46,60.8198,123,0.8559,92,Late,1
50FEQCHBFOCNTOU3I4,Deshpande-Sastry,Trading,GJ,63255.01,9208.0,7371.45,1.249,28,0.1441,2,Late,0
96ZCTAWKFGFIHLT0V6,Dhawan-Rau,Construction,WB,284517.95,46777.59,34253.53,1.3656,1,0.0388,13,Missing,0
05QMVMJVPEXOJWJ1V0,Rattan LLC,Trading,DL,945024.26,47579.35,144965.95,0.3282,29,0.1178,13,Late,0
73GPXILCQEQQIVF6V0,Nigam LLC,Construction,MH,365561.66,45181.53,21731.86,2.0789,24,0.0422,13,Late,0
83VJIYEHFVZLKOV6O0,Pau-Borah,Services,UP,155366.76,21676.39,17724.59,1.2229,36,0.0807,7,Regular,0
95LVLKWFDDZVSAJ4I6,"Mander, Parsa and Amble",Trading,MP,565913.78,57756.59,84819.72,0.6809,34,0.0565,10,Missing,0
33CIVNCFCHIJHLZ4K6,Konda-Pau,Construction,MH,590134.98,51298.47,77877.89,0.6587,11,0.1147,1,Regular,0
30KIBXWWCBERFRU2K3,Bawa and Sons,Manufacturing,MP,578900.82,66413.59,30389.61,2.1853,44,0.0534,19,Missing,0
